"","Subject","DAQName","Condition","Event","Drive","Restart","beta1","beta2","beta3","lambda0","lambda1","sigma"
"65",10,"NADS_IMPAIR_1_20220330121622.daq",3,"RuralStr",4,0,0.0399363588840629,0.0121817101117251,0.947881931004212,-0.149533534181339,0.205222992549707,0.00323495489306191
"66",11,"NADS_IMPAIR_2_20220507115210.daq",3,"RuralStr",4,0,0.0161727166881821,0.0104209579220615,0.973406325389756,-0.0326067747084545,0.123737957993114,0.00138511685386057
"67",13,"NADS_IMPAIR_1_20220504130820.daq",3,"RuralStr",4,0,0.690532731010843,0.0224180845793723,0.287049184409785,-9.09184659495968,45.4379622242848,0.0018786219785476
"68",14,"NADS_IMPAIR_3_20220410120635.daq",3,"RuralStr",4,0,0.0172089971519193,0.0106926245401642,0.972098378307917,0.117533253291349,0.106643992150521,0.00111250396199409
"69",15,"NADS_IMPAIR_1_20220527172725.daq",3,"RuralStr",4,0,0.816179261573501,0.0789385206159095,0.10488221781059,-9.12476961507034,50.8834469677863,0.00219603297685932
"70",16,"NADS_IMPAIR_3_20220415125000.daq",3,"RuralStr",4,0,0.0196684505922161,0.0243172271289267,0.956014322278857,0.0397993704636276,0.0414532777421881,0.00243067528566968
"71",17,"NADS_IMPAIR_3_20220511115732.daq",3,"RuralStr",4,0,0.0146118423192346,0.00809012289439198,0.977298034786373,-0.0635666109569331,0.0913557741578162,0.00127106925646693
"72",18,"NADS_IMPAIR_2_20220411120847.daq",3,"RuralStr",4,0,0.0165531936674718,0.0157600410853871,0.967686765247141,-0.0510880393289676,0.100085475277117,0.00212077252680341
"73",19,"NADS_IMPAIR_3_20220430174102.daq",3,"RuralStr",4,0,0.0138346255254701,0.0249298415773697,0.96123553289716,-0.00785648727309643,0.166992673051731,0.00140037714876544
"74",21,"NADS_IMPAIR_1_20220502120826.daq",3,"RuralStr",4,0,0.665020553292327,0,0.334979446707673,-7.79808651099004,-101.27816095149,0.000633894381428169
"75",22,"NADS_IMPAIR_2_20220430115631.daq",3,"RuralStr",4,0,0.0167646978352393,0.0128906064333861,0.970344695731375,-0.0716218257554212,0.127422579340919,0.00134531983976146
"76",23,"NADS_IMPAIR_1_20220528120617.daq",3,"RuralStr",4,0,0.022288615954045,0.013188976316312,0.964522407729643,0.0141200215205731,0.0341028207984834,0.00236120068876782
"77",24,"NADS_IMPAIR_2_20220506120353.daq",3,"RuralStr",4,0,0.0155807568554822,0.0138915189084241,0.970527724236094,0.100393518089855,0.136523805488137,0.00151120807722239
"78",25,"NADS_IMPAIR_3_20220523120350.daq",3,"RuralStr",4,0,0.0217386848870254,0.0308827902916797,0.947378524821295,0.0570425871193384,0.100892544112665,0.00209651158619621
"79",26,"NADS_IMPAIR_1_20220525121345.daq",3,"RuralStr",4,0,0.0169410614622932,0.0232589228530043,0.959800015684703,0.0176035839848329,0.112082719998301,0.00108152813412108
"80",27,"NADS_IMPAIR_1_20220522121743.daq",3,"RuralStr",4,0,0.132502205718942,0.17683302808535,0.690664766195708,-0.144107120146983,0.208706476608386,0.0429213564167504
"81",1004,"NADS_IMPAIR_1_20220708121035.daq",3,"RuralStr",4,0,0.0155058378667077,0.0145951599934713,0.969899002139821,0.0392808249455158,0.104573399003392,0.00157534732074454
"82",1007,"NADS_IMPAIR_3_20220529124229.daq",3,"RuralStr",4,0,0.0440442789836485,0.124604448186319,0.831351272830033,-0.0697440652691637,0.105053081725976,0.0195586449626673
"83",1008,"NADS_IMPAIR_2_20220530165442.daq",3,"RuralStr",4,0,1,0,0,-8.00063212754257,-9.11417047970183,0.0126309687780426
"84",1028,"NADS_IMPAIR_1_20220712174726.daq",3,"RuralStr",4,0,0.0169238610328044,0.010166721202832,0.972909417764364,-0.14936165648456,0.152390681222262,0.00240384088916908
"85",1029,"NADS_IMPAIR_2_20220709172213.daq",3,"RuralStr",4,0,0.012635852433596,0.0181223536330906,0.969241793933313,0.0119692331068601,0.185157836725411,0.000913699709600299
"86",1030,"NADS_IMPAIR_2_20220710173240.daq",3,"RuralStr",4,0,0.018418733257562,0.0288466474004865,0.952734619341951,0.0457853254709795,0.15709571714725,0.00283640905354902
"87",2012,"NADS_IMPAIR_3_20220709120859.daq",3,"RuralStr",4,0,0.0226140471180923,0.0155938299059747,0.961792122975933,-0.0224813984435083,0.146626868937033,0.00291494259853041
